UserID,SessionCount,PctSessionPurchase,ClicksPerSession,ItemsClickedPerSession,AvgTimePerClick,AvgTimePerSession,AvgPriceClicked,PctSessionClickDiscount,PctSessionPurchaseDiscount
022819975BABCE86,2,0,4.5,1,167.0714286,1019.5,17.84,0.5,0
02427398CA100991,3,0,3,1,192.7555556,697.3333333,63.6,1,0
025114C43B1ED2A2,12,0.5,20.25,9.5,66.94385567,1347,59.33666352,1,0.416666667
026E213570C89865,3,0,8,3,110.9415205,1619.333333,98,1,0
026F5C25C190603F,1,0,4,3,50.25,201,77.4,1,0
0271B5B8DA2E0541,2,0,1,1,60,60,63.5,0,0
027CC5795156DE10,2,0.5,30.5,14,137.7372881,4763.5,84.11190678,1,0.5
0282E072362028CC,2,0,6,3,44.90909091,194,47.81818182,1,0
028A7853A34980B8,25,0.12,5.24,3.12,115.2748269,689.12,50.26807603,0.8,0.12
029420668CED4A12,5,0.2,4.4,3.8,222.49,1021.4,52.81777778,0.8,0.2
029629139E574E5C,2,0,3.5,2,43.75,112.5,37.08333333,0.5,0
02A372643683909F,4,0.75,2,1.75,54.25,102.75,52.375,0.5,0.25
02C412089595E70A,1,1,18,6,193.2222222,3478,104.7692308,1,1
02C46FD5C265AAD0,1,1,1,1,60,60,59,1,1
02C91913136E3B6E,30,0.166666667,4.2,2.766666667,175.5859965,701.4,297.7767048,0.566666667,0.1
02D3BEAFD17F69ED,12,0.166666667,5.083333333,3.833333333,172.9976852,1163.416667,111.2001976,0.666666667,0
02D595F2E468D99F,3,0.333333333,1,1,60,60,95.23333333,1,0.333333333
02E120ACC808FF9E,7,0,5.428571429,3.285714286,67.08367347,413.5714286,74.92531746,1,0
02E9B0474EA030E4,2,0,5.5,3.5,371.1666667,1216,45.91875,0.5,0
02ED21C3B09277BE,5,0.4,1.8,1.2,46.93333333,75.8,77.1,0.6,0.4
02F5229A33C3147D,2,0.5,2,1,40.83333333,62.5,49,1,0.5
02F6D1B4B57B97F0,3,0,2.333333333,1.666666667,139.1666667,297,50.83333333,1,0
02FCAEB7A497542D,4,0,2,1.25,69.91666667,149.75,113.2888889,0.25,0
030644B82706EC2F,6,0.166666667,6.166666667,3.333333333,92.89031339,759.5,64.15910053,1,0
031D4710F4E90F79,14,0.071428571,4.785714286,3.714285714,75.03686299,410.4285714,31.0419898,0.357142857,0
031F2866AA8266E4,5,0,3.4,1.2,85.5,359,81.58,0.8,0
03214BA448C1A2CC,3,0,4,2.333333333,78.33333333,263,70.90738095,1,0
03273BE65809A13D,1,1,8,1,57.875,463,140.8,1,1
032EF0BDF0792704,8,0.125,5.125,3.875,91.96354167,495,56.66085526,0.875,0.125
032FCB119C86EB42,9,0.333333333,3.222222222,1.777777778,84.95138889,518.4444444,72.67851852,0.666666667,0.222222222
0335A665D0B2887A,2,0.5,6,4.5,292.375,2248.5,65.80125,0.5,0
03412089E3868DDB,6,0.166666667,4.666666667,2.833333333,58.10416667,289.1666667,173.1991667,0.666666667,0.166666667
0345FFE9606FF1B4,1,1,1,1,60,60,49.9,1,1
034CDB8F8BD89693,14,0.142857143,7.714285714,1.857142857,81.99828013,857.7857143,43.18955824,0.928571429,0.142857143
0358BB14C087EEE3,4,0.25,3.5,1.25,59.59722222,209,42.50277778,0,0
037FAD9A023CBBF2,3,0,11,7,45.80645161,220,72.66904762,1,0
038F757044773069,1,1,3,3,338.6666667,1016,33.56666667,0,0
03952E226B16CF58,1,0,2,1,60,120,59.8,1,0
039AC739DD1A391D,1,1,4,2,34.75,139,34.875,1,1
03A0007DD4EAD34A,4,0,2.75,1.25,184.4285714,1036,72.41428571,1,0
03BCD5F1882B4CD0,4,0,6.25,2.5,102.5416667,1005.5,52.28333333,0.5,0
03C41C88014B7083,3,0.333333333,2.333333333,1.333333333,75.93333333,219.6666667,22.16666667,0.666666667,0.333333333
03CE6F722A3C9AF7,3,0.333333333,1.666666667,1.333333333,59.55555556,98.66666667,251.4444444,0.333333333,0.333333333
03E0513985A88051,5,0,5.6,3.2,141.2277778,1617.6,68.73680556,0.8,0
03E05A1F09AA4DEE,4,0.5,3.25,1,43.07142857,150.25,22.2725,1,0.5
03E208BA1D74143D,7,0.142857143,5.285714286,3,137.9544695,710.1428571,71.54963346,1,0.142857143
03E5A8CB87222BFA,3,0,2.666666667,1.333333333,84.36111111,238,136.5333333,0.333333333,0
03F1625CE84D70C9,1,0,1,1,60,60,36.9,1,0
04000750276F1E78,5,0,2.4,1.8,122.1533333,265.8,90.50666667,1,0
0405F39814360B25,1,0,2,1,60,120,89,1,0
0410A75E09982C16,2,0,1.5,1.5,60,90,70.45,1,0
0411C60D1DAFFC54,2,1,3,1,44.75,147.5,79.8,0.5,0.5
041806BAF0906445,2,0,2.5,2,242,698.5,41.85833333,1,0
041D2C3B384BB939,1,0,2,2,60,120,10.8,1,0
04250E067A294E61,2,0,1.5,1.5,49.25,68.5,9.75,0.5,0
042BABD3E5355BE6,1,0,1,1,60,60,79,0,0
043180A5CA9C73A2,1,0,2,2,60,120,57.4,1,0
04346E5E0D6247B5,7,0,3.571428571,2.857142857,49.75297619,181,47.15934028,0.857142857,0
0440FC34C9C54436,2,0,2.5,2,165.5,572,47.51375,0.5,0
04461AC920451A8F,2,0,2,2,50.33333333,91,56.45,1,0
04464B5BF3A24265,1,1,3,3,60,180,54.1,1,0
044EF3ED4650898E,2,0.5,26.5,10,91.35294118,3189,123.5685714,0.5,0.5
044FF54433D0A3F7,2,0.5,1.5,1,60,90,89.9,0.5,0
0450711DF9F1413B,7,0.285714286,7.428571429,4.142857143,62.38313325,475.4285714,40.70187075,0.714285714,0.285714286
0451DD30CD2AD3E5,1,0,2,2,60,120,17.45,0,0
045942BCE085F397,7,0.428571429,5.285714286,3.857142857,140.9714286,1036.714286,47.20515152,1,0.285714286
045F500F20DC5BB5,7,0.285714286,1.714285714,1.428571429,81.28571429,197,53.91071429,0.571428571,0.142857143
04705F0DDF9548E9,2,0.5,1.5,1,75.5,121,49.035,0,0
047EFD62D9484D70,4,0.25,17.25,9.5,83.76586814,1703.25,71.45932842,1,0.25
048AA58EBA71F1B4,4,0,3.75,2.5,60.14772727,279.5,37.01818182,0.75,0
04951EB87C292664,7,0,4.142857143,2,93.86507937,343.1428571,92.46309524,0.857142857,0
04A705EFF34ACD43,3,0.666666667,3.333333333,1.666666667,136.952381,738.6666667,66.2,0.333333333,0.333333333
04AB1D0B627BB643,1,0,3,1,41,123,73.9,1,0
04B42732B6C31CEA,1,1,5,1,44,220,109.8,0,0
04CA12412EA5AEFB,37,0.135135135,3.567567568,2.108108108,90.23878164,283.1621622,57.78095004,0.72972973,0.054054054
04D6BC165B375787,18,0.055555556,11.38888889,6.666666667,57.35073891,753.6666667,58.31029187,0.722222222,0.055555556
04E16D729DE67851,1,0,1,1,60,60,88.9,1,0
04E55D79507EBAD4,3,0.333333333,2.333333333,1.666666667,81.33333333,246.6666667,89.73333333,0.666666667,0.333333333
04FA9EF35B521AEE,5,0.2,3.6,2.4,115.84,339.6,86.75,1,0.2
04FBDBF92FA804CB,2,0.5,2,1,45.25,90.5,44,1,0.5
050326324587924D,2,0.5,8.5,3.5,43.09375,239.5,124.4733333,1,0
050563ADA56E28C1,5,0.2,1.6,1.2,52.9,81.8,38.81875,0.8,0.2
050763235A3E1A74,18,0.222222222,7.888888889,5,57.00310403,452.5,68.07623448,0.611111111,0.055555556
050B3F0AC62BCD53,6,0.166666667,2.5,2,169.4027778,342.8333333,54.65555556,0.5,0
050B96ED6A2CBB58,1,1,3,1,60,180,8,0,0
05346379F7D3A001,4,0.25,2.5,2.25,136.0833333,601,74.72083333,1,0
05381A59289F99B0,3,0.333333333,39.33333333,16.33333333,303.5166568,6386.666667,41.46241685,1,0.333333333
0539D227AEF2E94A,1,1,5,2,59.8,299,58.64,1,1
054555147C679D23,4,0.25,5.5,1.75,62.4775641,330.25,40.66384615,0,0
054CABAC63FEBE37,2,0.5,4,2,71.2,297,50.21666667,1,0.5
0551961499D1E4F1,4,0.25,4,1.75,156.9791667,1015.25,45.93333333,0.5,0.25
0553ED833B05D87C,2,0,2,1,40.5,61.5,144.9,0.5,0
05560F01536EDE49,7,0.285714286,10.71428571,4.428571429,98.90022676,887.7142857,87.30557143,0.571428571,0.285714286
0556B4EDC4E0A9FE,1,0,1,1,60,60,333,1,0
055CEC943E7C3A33,3,0.333333333,3.666666667,2.333333333,59.03703704,211.3333333,34.02962963,1,0.333333333
055EEA746C2BA0E1,7,0.285714286,6.714285714,2.428571429,49.51636905,310.7142857,76.16285714,0.714285714,0.285714286
0561416429C8367A,1,0,5,2,27.8,139,21,1,0
0563C21B324A4FB8,3,0.333333333,2.666666667,1.666666667,74.9,245,30.84666667,1,0.333333333
05757BB90C375540,24,0.083333333,8.416666667,4.083333333,60.89137858,699.0416667,93.67953104,0.875,0.041666667
057EFA43BBC83171,4,0.75,3,2,136,611.75,78.76416667,0.75,0.75
0587F20F52EB79CB,1,1,11,5,16.45454546,181,57.43636364,1,1
0589FF1B5B71700E,2,0.5,1.5,1,60,90,32.48,1,0.5
059375FED004DD33,10,0.1,6.4,3.4,220.6955357,1504.3,129.5553274,0.7,0.1
059B000A4A2D67DC,1,1,1,1,60,60,43.8,1,1
05A02EC14F5A69EF,2,0,2,2,50.25,100.5,75,0,0
05A2EE3404830537,1,0,4,3,49.25,197,246.3,1,0
05A66F0A74A464B9,43,0.139534884,4.837209302,2.325581395,162.2168818,1057.395349,42.70081104,0.697674419,0.069767442
05A8D8DDDE6B1E7F,10,0.2,5.5,2.5,113.4440476,1064.3,39.92490476,0.7,0.2
05B190546D179C50,2,1,2.5,1,104.875,329.5,97.4,1,1
05B360D3FC36B084,2,0,5,3.5,89.40476191,542.5,42.5,1,0
05BB2248E1C3A23C,1,0,16,4,78.8125,1261,86.9,0,0
05BBB0692D6D627C,2,0,11.5,3.5,252.6730769,2843,93.35683333,1,0
05BD7B2E7FDD7BBC,6,0.166666667,9.5,5.833333333,112.718254,1507.5,78.33991228,1,0.166666667
05C332128A67A0D1,1,1,1,1,60,60,49.9,0,0
05CE18A704895087,3,0,2,1,57,120.6666667,64.7,0.666666667,0
05D64019E1B2E77A,2,0,4.5,2,79.3,359,80.02,0.5,0
05DEBD0D48153CBD,2,0,7.5,4,35.11363636,255,66.36428571,1,0
05E058FD6830CA9D,3,0.333333333,2,2,55,100,52.94166667,0.666666667,0.333333333
05E6A6A018FEB81D,4,0.25,9.25,5.75,57.50396825,556.75,78.47267857,1,0.25
05E995A9C71AA4EA,5,0,2.4,1.8,75.93333333,239.6,97.67375,0.6,0
05EF63E914B2346C,5,0.2,2.8,2.2,46.5,107.6,95.648,0.6,0.2
05F17F131267154A,1,0,2,2,60,120,59.8,1,0
05FBD592A17C91FF,1,0,1,1,60,60,78.9,0,0
06007E8A97E309B2,15,0,3.466666667,1.733333333,106.6963248,667.6666667,80.68928571,0.933333333,0
060BF3F0BFE0C657,1,0,3,3,41,123,61,1,0
060F751F6A0D5859,2,0,6,4,208.25,1363,39.425,0.5,0
0628E8DA2A85381C,2,0.5,6.5,3,57.5,477,85.84166667,1,0.5
063666B19215A07D,8,0.125,3,2.375,73.69642857,277.125,76.74047619,0.875,0.125
064DC9446BB5BD7C,2,0,3,1,61.1,185.5,23.95,0,0
06590EFEEC69EEB0,3,0.333333333,5.333333333,2.333333333,111.5,998.6666667,54.63769231,1,0.333333333
065F676DBE46D2ED,17,0.117647059,1.882352941,1.470588235,62.32843137,134,58.5921875,0.823529412,0.058823529
066169416B717AFD,3,0.666666667,7,3.333333333,78.8974359,697.6666667,52.71941392,1,0.666666667
066ADD8D20AB1113,2,0.5,5.5,3,38.5,136.5,100.4416667,1,0.5
068AA4094BFC6D59,7,0.142857143,1.571428571,1.142857143,55.5,85.28571429,95.55714286,0.857142857,0
068EDD82D4E6BCBA,2,0.5,3,2,45.5,143,133.825,1,0.5
06908CD83F01846C,14,0.214285714,5.428571429,2.285714286,84.01741515,577.5,72.61858974,0.857142857,0.214285714
0691060F12A25968,1,0,3,2,40.33333333,121,94,1,0
06944AF3CC1840DB,2,0,7.5,5.5,69.89285714,588.5,58.425,1,0
069A5421D894EB45,10,0,4.9,3,93.02936508,733.7,61.50557037,0.7,0
06A026B1BFBE7BEB,2,1,10,6,78.80555556,470.5,20.57222222,0.5,0.5
06AB642088FE1FEA,21,0.238095238,4.428571429,2.619047619,54.21106129,236.7619048,87.70348665,0.761904762,0.190476191
06B334EAB34F6DFC,4,1,6.5,4.25,136.7,977.75,61.57404762,0.75,0.25
06BE124142695129,3,0.333333333,14,7,234.7747076,2720.666667,73.97196078,1,0.333333333
06C35D9054D74492,2,0,4,4,41.14285714,108,63.65714286,1,0
06C75654360B589C,3,0.333333333,3.333333333,2,36.72222222,99.66666667,29.78555556,0.333333333,0
06C7CDC1C0AE154D,12,0.083333333,3.833333333,2.833333333,52.51823871,188.9166667,77.58027381,0.583333333,0
06CDAB295ADE6EC3,1,1,2,1,60,120,49.9,1,1
06D12EEA59706171,8,0.375,10.125,4.125,131.9350782,1451,97.2146598,0.75,0.25
06D356655B2A5192,8,0.25,6.125,3.375,78.94117647,846.5,63.80990196,0.625,0.25
06D44BB53225873A,1,1,10,7,399,3990,49.42,1,1
06E0A30AC62D990C,2,0.5,3,1.5,83.6,298,39.27,1,0.5
06E400414DB80821,34,0,5.147058824,2.558823529,129.1191354,1054.823529,53.69929466,0.794117647,0
06E7C37745777495,11,0.090909091,13.54545455,5.545454546,113.6442029,1670.454546,66.00585714,0.818181818,0
06E936DC4B653F90,21,0.095238095,11.85714286,3.190476191,72.11025017,998.9047619,47.73627883,0.571428571,0.047619048
06EC85B0A46252CC,3,0.333333333,1.666666667,1,51.66666667,83.33333333,16.63333333,0.333333333,0
06F3786766C7DB2E,3,0,3,2.666666667,67.85714286,235,182.6457143,0.333333333,0
06F8B8944E8E1F99,2,0,1.5,1,59.25,88.5,86.9,0,0
07023896945C9674,1,0,1,1,60,60,86.9,0,0
071496BA897EDD0F,4,0.5,3.5,2.5,66.79545455,284.75,30.43181818,1,0.5
07262B30B5A2C019,54,0.092592593,31.87037037,4.240740741,128.4577024,7109.5,38.64555607,0.796296296,0.055555556
0731EFFD62125B2F,1,0,2,1,60,120,39,0,0
07377C6293C1DA4E,1,0,1,1,60,60,57.8,0,0
073D6A78C529068B,6,0.333333333,4.166666667,2.833333333,98.58068783,490.5,51.7281746,0.333333333,0
074803890F54ACFA,2,0.5,5.5,4.5,59.6,326,45.47722222,1,0.5
0751D5A121419844,1,1,11,5,19.54545455,215,73.09090909,1,1
075CD932713EB98B,3,0.666666667,4.666666667,2.666666667,42.52777778,149,35.59583333,0.666666667,0.333333333
07736A8640B7D445,2,1,3.5,2.5,39.65,151,58.51,0.5,0
0773ECE9B7E49657,1,0,1,1,60,60,48,1,0
077851621C91F533,3,0.333333333,8.333333333,3.666666667,67.18888889,538.6666667,46.42933333,1,0.333333333
077F50E65E197D63,1,0,1,1,60,60,46.64,1,0
0786FAF48C6999F8,3,0.333333333,25,11,63.34854497,1874,84.2187963,1,0.333333333
078BB0EDE3D8FB9B,7,0.142857143,2.285714286,1.428571429,72.5,193.7142857,64.45714286,0.857142857,0.142857143
07942197091BFC84,2,0.5,12.5,3.5,142.872807,2505.5,99.225,0.5,0.5
0796E24E0D27053E,4,0.25,5,2.5,46.08846154,182.75,46.95903846,1,0.25
079FCB429A531015,6,0.166666667,13.83333333,7.833333333,58.12126517,582.6666667,49.84549479,1,0.166666667
07A032E56DE70BCE,2,0,3,2,323.125,1261.5,42.865,1,0
07AF039909D6C921,2,1,10,5,66.01098901,628,43.31153846,1,1
07BB1A2967C5B82A,7,0.285714286,11.14285714,6.714285714,57.11939862,631.4285714,48.71112013,0.857142857,0.285714286
07BC143FC3AA6C43,2,0.5,13,5,57.15625,718,65.34419643,0.5,0.5
07BC8EC7940CAFAB,3,0.333333333,7.666666667,2.666666667,79.92397661,941.6666667,84.925,0.333333333,0
07BF66154A133B0D,33,0.151515152,7.090909091,2.575757576,128.1256341,1000.545455,67.45043596,0.606060606,0.03030303
07C284206DA7E49F,49,0.081632653,6.040816327,3.142857143,102.0144975,805.6122449,48.70701934,0.632653061,0.040816327
07C38786B13A7976,6,0.333333333,2.333333333,1.833333333,72.82222222,170.6666667,59.85777778,0.5,0.166666667
07C6A1B7381B3F5D,8,0,11.25,5,69.78724756,1237,60.69600829,0.875,0
07C80BDB6FA91C5D,9,0,1.888888889,1.444444444,78.40740741,165,86.30166667,0.888888889,0
07D090D18130FA62,2,0.5,16.5,10.5,241.4318182,4059.5,80.1125,1,0.5
07D4A2F6EBE01EF5,3,0,5.666666667,3.333333333,55.27777778,225.3333333,122.9403409,0.666666667,0
07DA1043DF7613F3,5,0,3.8,3,98.82222222,539,91.15,0.8,0
07DD220C213F781B,1,0,1,1,60,60,72.9,1,0
07DFD43CA8F8FD71,2,0,3.5,2.5,204.9166667,1079.5,87.08,1,0
07E1CC01A8E142A4,4,0,3.75,3.5,48.05681818,142,73.84204546,0.5,0
08092429BA2A4783,1,1,4,4,44.75,179,50.55,1,1
080C3DCA164052B6,13,0,2.307692308,1.384615385,74.25604396,184.9230769,36.39350649,0.692307692,0
08128118F102AACE,5,0.2,6.4,2.2,117.46,625.6,52.14666667,0.8,0
081A241A5CA3A92D,3,0,2.333333333,1.666666667,51.86666667,99.33333333,53.53333333,0.666666667,0
08251D0813437096,1,0,5,2,65.6,328,68.456,1,0
08317B6CDC24D58C,8,0.125,3,1.75,88.79880952,326.875,58.67142857,0.875,0.125
085EEBE62E8C5F9E,4,0.25,10.5,5,52.05194805,533,59.32728111,0.5,0.25
086E01374F78A495,3,0,1,1,60,60,29,1,0
0876F9634119789C,1,1,1,1,60,60,59,0,0
0888AD6AD6357944,3,0.666666667,6.666666667,3.666666667,86.8968254,623.3333333,20.87248677,0.666666667,0.333333333
08B68132F3FB1740,12,0,2.75,1.916666667,119.4930556,514.5833333,65.56027778,0.916666667,0
08C4B41996F8A52B,3,0.666666667,6,2.333333333,86.6875,787,83.13958333,1,0.333333333
08C4B54E2A0E2F7A,4,0.75,4.25,2.75,151.1369048,795.75,74.35178571,1,0.5
08C62160A46AF1E8,2,0.5,5,1,246.5476191,808.5,0,0,0
08C8D51AE865CDD9,8,0.375,4.375,3.375,120.1116071,635.5,68.00125,1,0.375
08D62BD69A11C009,4,0.5,20.25,8.5,96.41165689,2955.75,66.94380682,0.75,0.5
08D6A2521516B7AD,6,0,6.5,3,63.04795752,385.3333333,80.33953431,0.833333333,0
08D9B96A9CEF8AC9,16,0.125,5.3125,2.875,66.96089501,297.75,79.22471674,0.75,0.125
08DDDD93661F637D,3,0,3.333333333,2.666666667,91.52380952,420.6666667,45.435,1,0
08E183175BD7A535,12,0.166666667,1.833333333,1.166666667,111.7638889,282.25,86.393,0.5,0.083333333
08F7E547A492F51E,1,1,13,5,311.1538462,4045,28.55714286,1,0
08F842FB6E00D278,1,1,1,1,60,60,203,1,1
0902C5C2B05283B3,18,0.055555556,3.111111111,1.611111111,101.962963,566.2222222,38.23877976,0.388888889,0.055555556
0908322F42FB1FA2,4,0.25,2.75,2,44.66666667,100,84.6,1,0.25
090C53FCC328B1B6,1,0,23,5,54.56521739,1255,66.84615385,1,0
091385DBFC985523,11,0.090909091,3.272727273,2.545454546,87.55252525,333.1818182,100.0690152,0.818181818,0.090909091
091601C260016EED,4,0,4.5,2.5,57.98333333,239.75,69.99333333,1,0
0919913739A40EA7,9,0,2.666666667,2,82.45185185,274.5555556,18.4752381,0.666666667,0
09322E34F77EDF8C,12,0.083333333,5.75,2.416666667,57.04099327,475.9166667,43.48621212,0.583333333,0
0934C0ECD58ACB30,4,0,3.25,2.25,51.0625,119,50.450625,0.75,0
093AAC976D4CFA19,7,0.571428571,16.28571429,8.714285714,109.8466827,1490,71.11780722,1,0.428571429
09455541DC2BFC9F,4,0,8.5,3.5,89.04140787,735,72.84332298,1,0
095071AA6BFD41AD,5,0,3.2,1.6,84.96,309.4,32.81416667,1,0
0958A9C4E1507C71,1,0,1,1,60,60,59,1,0
0966C14DBBE02D8C,3,0.333333333,6,4,98.85555556,1066.333333,168.6397436,1,0.333333333
0967673A6C7BAC8B,4,0,3,1.75,49.875,134.25,47.68777778,0.75,0
097742DD52EA0695,6,0.166666667,4.5,2.333333333,68.94047619,263.3333333,76.61626984,1,0.166666667
097F6B544CA68E9C,2,0.5,2.5,2,74.75,179,47.9,0.5,0.5
098C6821FF50F5C3,3,0,1,1,60,60,73,0.333333333,0
098D7A0D19D1903F,2,0,7.5,5,32.63461539,256.5,61.7,1,0
09A51DBFC3F69AB3,5,0,5,3.2,139.7818182,1177.6,97.315,0.4,0
09B9C7DC0ED3B2CC,6,0.333333333,7.666666667,3.833333333,91.07936508,1116.833333,56.50692983,1,0.166666667
